x,y,fill,text,id,anchor
100,400,#b7b4aa,Military,14795,end
250,400,#b7b4aa,Guns,14111,end
400,400,#b7b4aa,Crime,15022,end
550,400,#b7b4aa,Border,14992,end
700,400,#b7b4aa,Wall,14992,end
800,400,#b7b4aa,Immigration,14992,end
1050,400,#b7b4aa,Economy,15035,center
1250,400,#b7b4aa,Jobs,14883,center
1350,400,#b7b4aa,Trade,14884,center
1500,400,#b7b4aa,Court,14950,center
1650,400,#b7b4aa,America,15032,center
1850,400,#b7b4aa,ISIS,14927,center
100,500,#d6a10e,Collusion,15036,center
300,500,#d6a10e,Mueller,15034,center
500,500,#d6a10e,Witch,15036,center
700,500,#d6a10e,FBI,15003,center
900,500,#d6a10e,Fake,15034,center
100,600,#15c40f,CNN,14921,left
300,600,#15c40f,NBC,14940,left
500,600,#15c40f,CBS,14500,left
700,600,#15c40f,FOX,15015,left
900,600,#15c40f,PRESS,15018,left
100,700,#0fc493,Israel,15032,left
300,700,#0fc493,Washington,15024,left
550,700,#0fc493,Europe,14911,left
700,700,#0fc493,Russia,15036,left
900,700,#0fc493,Puerto Rico,14798,left
1150,700,#0fc493,China,14813,center
1300,700,#0fc493,California,14953,center
1500,700,#0fc493,Virginia,14881,center
100,800,#0b47c6,Hillary,14991,center
300,800,#0b47c6,Obama,15014,center
500,800,#0b47c6,Bernie,14988,center
700,800,#0b47c6,Pelosi,14959,center
900,800,#0b47c6,Schumer,14417,center
1100,800,#0b47c6,Biden,14988,center
1300,800,#0b47c6,DNC,15025,center
1500,800,#0b47c6,Democrats,15033,center
100,900,#ed0219,Republicans,14990,end
350,900,#ed0219,Mitch,14996,end
500,900,#ed0219,Paul Ryan,14575,end
700,900,#ed0219,Hannity,15030,end
900,900,#ed0219,Donald,15016,end
1100,900,#ed0219,Trump,15039,end
1300,900,#ed0219,Pence,14866,end
